J3,179.74,23.56,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,21.00,93.15,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,105.23,33.55,0.00,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE
MCP73831,132.99,58.63,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,161.86,47.20,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,140.29,56.91,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,99.53,29.04,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,84.96,23.36,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,31.93,45.77,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,24.40,104.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,127.93,57.90,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,167.34,11.74,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,107.99,48.29,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,105.28,59.16,180.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,86.10,18.23,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,168.83,11.74,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,108.73,58.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,157.78,54.29,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,165.38,56.78,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,132.01,54.65,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,88.94,24.31,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,90.42,24.32,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,95.29,29.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,48.36,49.59,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,63.37,33.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,66.28,33.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,68.39,33.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,61.65,112.72,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,40.69,112.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,110.43,58.27,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,80.69,112.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,97.01,29.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,65.75,112.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,169.62,16.39,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,85.68,15.95,0.00,,SJ
TP1,22.19,74.38,0.00,TPTP20R,TP20R
TP10,38.29,19.76,0.00,TPTP20R,TP20R
TP11,47.59,19.38,0.00,TPTP20R,TP20R
TP12,101.89,101.50,0.00,TPTP20R,TP20R
TP13,43.19,19.52,0.00,TPTP20R,TP20R
TP14,170.59,68.94,0.00,TPTP20R,TP20R
TP15,133.69,14.06,0.00,TPTP20R,TP20R
TP16,138.59,14.08,0.00,TPTP20R,TP20R
TP17,128.49,14.20,0.00,TPTP20R,TP20R
TP2,25.39,74.30,0.00,TPTP20R,TP20R
TP3,167.29,69.02,0.00,TPTP20R,TP20R
TP4,101.79,97.94,0.00,TPTP20R,TP20R
TP5,101.79,110.66,0.00,TPTP20R,TP20R
TP6,96.39,110.68,0.00,TPTP20R,TP20R
TP7,90.89,110.60,0.00,TPTP20R,TP20R
TP8,124.09,14.22,0.00,TPTP20R,TP20R
TP9,101.89,94.34,0.00,TPTP20R,TP20R
U1,52.62,57.34,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,28.74,57.95,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,100.84,52.32,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,143.14,61.46,0.00,MAX17048G+T10,SON50P200X200X80-9N
